Row,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
120000,209828100000.0,47598.44,21.40656,38816340000000.0,48419170.0,1068753.0,828095800000000.0,1.013025e+18,5109706000.0,96462770.0,8.707176e+16,9784030000.0,8859389000.0,50611080000.0,25884580.0
600000,209828100000.0,47598.44,21.15643,37279110000000.0,18156380.0,1068752.0,296793900000000.0,1.013025e+18,5106753000.0,96462770.0,8.707176e+16,162876300.0,1126702000.0,3575886000.0,7392888.0
3000000,209828100000.0,28751.78,20.52395,26731060000.0,8967693.0,1058130.0,372805700.0,324917500000000.0,734743600.0,94426510.0,14432670000000.0,1799689.0,79081830.0,860230500.0,2231571.0
120000,351158400000.0,109934.7,21.40998,35543200000000.0,71885040.0,1071930.0,2619328000000000.0,1.655847e+18,5171615000.0,96213070.0,2.856647e+17,4545431000.0,4968089000.0,39985470000.0,16889760.0
600000,351150700000.0,104609.2,21.16113,32498600000000.0,19168440.0,1071930.0,87888700000000.0,7.548019e+16,5162875000.0,96213060.0,2.856566e+17,298554100.0,767844300.0,970841000.0,5007129.0
3000000,249267100000.0,23249.08,20.47233,31474520000.0,8894669.0,1061450.0,949120400.0,16917090000000.0,838744200.0,94473690.0,109559300000000.0,129816700.0,53044220.0,259539700.0,1514507.0
120000,344996200000.0,121171.8,21.40631,26027170000000.0,72646360.0,1068553.0,1462259000000000.0,8.194915e+17,5136258000.0,96624110.0,4.800188e+17,4635751000.0,6357912000.0,23434780000.0,23433780.0
600000,344989400000.0,116201.1,21.15937,23198180000000.0,20401420.0,1068553.0,60371310000000.0,1.082901e+17,5130466000.0,96624100.0,4.787642e+17,111882100.0,666585400.0,537336600.0,6892643.0
3000000,235921100000.0,28364.7,20.54672,25957280000.0,9410142.0,1057904.0,1184845000.0,235593500000000.0,701083300.0,94617780.0,2034677000000.0,3750809.0,53552060.0,364449400.0,2099266.0
120000,373057600000.0,120330.3,21.4085,47589080000000.0,69893750.0,1073662.0,2313454000000000.0,1.239952e+18,4789808000.0,96221420.0,3.455335e+17,3637926000.0,6624204000.0,58221610000.0,17221610.0
600000,373050300000.0,115391.1,21.16166,45886320000000.0,21537500.0,1073662.0,270563400000000.0,1.150416e+17,4779680000.0,96221420.0,3.455256e+17,108951000.0,1465069000.0,29212060000.0,5086593.0
3000000,265985000000.0,23764.35,20.4908,26428020000.0,9053546.0,1059867.0,1279345000.0,70103660000000.0,600860400.0,93927070.0,16626450000000.0,850498.4,347108400.0,22362150000.0,1776761.0
120000,368516400000.0,118956.0,21.40511,28554080000000.0,76717310.0,1074979.0,1189305000000000.0,1.394131e+18,5920157000.0,96367270.0,7.781115e+17,5584951000.0,11470640000.0,38993310000.0,22466690.0
600000,368508900000.0,113434.8,21.16351,26713620000000.0,15593850.0,1074979.0,50924420000000.0,1.125761e+17,5914754000.0,96367260.0,7.781114e+17,146133800.0,1425188000.0,1041394000.0,6237957.0
3000000,259747800000.0,25583.69,20.51829,23724520000.0,9577403.0,1063033.0,830741600.0,144870300000000.0,744587900.0,94780970.0,114718800000000.0,3258195.0,261731600.0,342194700.0,1912587.0
120000,367581800000.0,120375.4,21.42201,19262440000000.0,72505910.0,1070262.0,9212307000000000.0,1.502787e+18,6249774000.0,96615350.0,2.07309e+17,4280679000.0,7712344000.0,38898770000.0,29671540.0
600000,367575500000.0,115594.4,21.14211,16870060000000.0,19320260.0,1070262.0,87565950000000.0,1.207724e+17,6246786000.0,96615350.0,2.073033e+17,179207800.0,1248697000.0,896129500.0,7343367.0
3000000,271758900000.0,26477.71,20.47103,25578120000.0,9390345.0,1059680.0,210447900.0,211865000000000.0,761421300.0,93536240.0,80572260000000.0,20483720.0,25631410.0,629798500.0,2311990.0
120000,351893000000.0,109002.3,21.4086,28173300000000.0,71619600.0,1070828.0,1766421000000000.0,1.246198e+18,5266409000.0,96733660.0,2.01785e+17,5597755000.0,5157361000.0,47625210000.0,22006060.0
600000,351887300000.0,104395.6,21.14021,26487220000000.0,20381960.0,1070828.0,147686000000000.0,1.208349e+17,5261741000.0,96733650.0,2.010937e+17,112165000.0,885768300.0,8023235000.0,7574447.0
3000000,247265800000.0,22194.51,20.54415,16755970000.0,8974251.0,1062806.0,102535400.0,215313200000000.0,687253900.0,94570300.0,93271720000000.0,5852345.0,45084250.0,4932437000.0,2204760.0
120000,332682600000.0,116328.2,21.38327,26670740000000.0,82592350.0,1070104.0,3944288000000000.0,2.320253e+18,5004354000.0,96819460.0,6.233546e+17,6013332000.0,8334158000.0,29210170000.0,21619040.0
600000,332675800000.0,111333.5,21.16958,24433050000000.0,20774920.0,1070103.0,58374940000000.0,7.58943e+16,5000430000.0,96819450.0,6.232549e+17,1051623000.0,687247200.0,577499500.0,6456167.0
3000000,207592600000.0,22399.17,20.4736,26241580000.0,8919531.0,1064817.0,220476300.0,70626110000000.0,678657800.0,94768640.0,1817633000000.0,995083300.0,19665050.0,298345700.0,1796845.0
120000,373126600000.0,117005.6,21.4017,36213530000000.0,63160200.0,1072395.0,1956950000000000.0,1.299404e+18,5369687000.0,96400230.0,3.167779e+17,4888747000.0,6410036000.0,24450440000.0,21002050.0
600000,373120200000.0,112391.0,21.127,34458340000000.0,21746750.0,1072394.0,25693580000000.0,1.040116e+17,5357761000.0,96400220.0,3.167363e+17,428442700.0,825562300.0,2843139000.0,5839347.0
3000000,252208800000.0,22808.13,20.50203,24167990000.0,9900838.0,1062510.0,786865700.0,79866510000000.0,748552100.0,94741010.0,244897700000000.0,307919500.0,61015230.0,1189376000.0,1789796.0
120000,360601900000.0,117775.3,21.37948,22705380000000.0,76476360.0,1072688.0,3599500000000000.0,2.16163e+18,6729993000.0,96677890.0,9.259045e+17,4534508000.0,5768815000.0,70284770000.0,20584040.0
600000,360594800000.0,112831.6,21.17148,21100520000000.0,22554820.0,1072688.0,170658900000000.0,1.564018e+17,6726147000.0,96677880.0,9.259044e+17,77815350.0,727288900.0,1292691000.0,5622440.0
3000000,242821700000.0,28006.51,20.53533,25936020000.0,9296588.0,1061130.0,876713800.0,45396150000000.0,721532800.0,94339710.0,94845520000000.0,16125000.0,38066470.0,791194100.0,1549690.0
120000,370555900000.0,116732.8,21.40903,26172090000000.0,66004780.0,1067135.0,5454753000000000.0,1.407605e+18,5595608000.0,95974850.0,6.158845e+17,4777690000.0,9828322000.0,50926290000.0,21532990.0
600000,370549800000.0,111762.9,21.16561,24698590000000.0,23755830.0,1067134.0,46808230000000.0,5.646972e+16,5589005000.0,95974840.0,6.15884e+17,190588500.0,1216784000.0,1196918000.0,6222927.0
3000000,263671700000.0,23658.6,20.52455,18058760000.0,8995270.0,1037196.0,862439400.0,43144420000000.0,569848300.0,94841130.0,22885400000000.0,13998780.0,279489400.0,179251900.0,1795384.0
120000,375782900000.0,115443.2,21.39696,30565010000000.0,64171310.0,1072647.0,1388782000000000.0,9.302608e+17,5303818000.0,96422840.0,2.63673e+17,7139516000.0,4955841000.0,91535000000.0,24231030.0
600000,375777500000.0,110693.4,21.15109,29142840000000.0,18249410.0,1072647.0,169845200000000.0,1.204838e+17,5295237000.0,96422830.0,2.636512e+17,159483900.0,694977200.0,2123939000.0,6472836.0
3000000,256726200000.0,22205.4,20.50548,27960200000.0,8735715.0,1062199.0,48368910.0,29409840000000.0,679211900.0,94262340.0,39601320000000.0,24217340.0,29745880.0,687857900.0,2497604.0
120000,369241500000.0,122298.5,21.4068,31275940000000.0,62702860.0,1075382.0,5407438000000000.0,1.665469e+18,6585863000.0,96034530.0,1.823907e+18,5073087000.0,5019981000.0,27653980000.0,19893340.0
600000,369234400000.0,117386.4,21.13621,29658720000000.0,22897770.0,1075382.0,155490100000000.0,1.637839e+17,6581134000.0,96034520.0,1.823654e+18,199931100.0,915969600.0,7705308000.0,6327380.0
3000000,273011000000.0,25376.57,20.52521,33507220000.0,11313830.0,1062359.0,97653880.0,74378700000000.0,677155900.0,94090320.0,103766600000000.0,25005640.0,188425900.0,6368028000.0,2261784.0
120000,336844300000.0,117574.8,21.40342,27160240000000.0,62551190.0,1072240.0,2389919000000000.0,1.591688e+18,6414888000.0,96695380.0,9.138391e+17,5634959000.0,7032247000.0,66708190000.0,19952750.0
600000,336836700000.0,112182.2,21.16531,25093380000000.0,18575250.0,1072239.0,90612320000000.0,8.70841e+16,6412024000.0,96695380.0,9.136848e+17,320125700.0,754371300.0,5332676000.0,6646066.0
3000000,249813700000.0,25474.21,20.5139,21401590000.0,9681463.0,1061641.0,405657800.0,82524080000000.0,672335100.0,94502540.0,9756564000000.0,3174215.0,223288300.0,3258664000.0,1663696.0
120000,364729100000.0,116495.2,21.40833,23319530000000.0,68387640.0,1072855.0,1121945000000000.0,1.461054e+18,6073478000.0,95385570.0,8.188351e+17,5316885000.0,5645138000.0,40467080000.0,25731870.0
600000,364722500000.0,111022.5,21.15101,21174410000000.0,19662120.0,1072855.0,60589010000000.0,1.072596e+17,6067164000.0,95385560.0,8.188269e+17,89256990.0,552427200.0,2572186000.0,6776112.0
3000000,255311800000.0,23582.38,20.51847,20044090000.0,9999238.0,1063669.0,41889570.0,119507100000000.0,631771200.0,94798330.0,62885090000000.0,26700470.0,66713660.0,856162400.0,1938219.0
120000,358044900000.0,115647.0,21.39069,10460970000000.0,63818170.0,1071650.0,2499174000000000.0,1.332307e+18,6723036000.0,96364850.0,4.74856e+17,5839839000.0,8415758000.0,73586800000.0,24910050.0
600000,358038200000.0,110333.4,21.15164,8379948000000.0,20590930.0,1071650.0,193611800000000.0,6.895212e+16,6718771000.0,96364850.0,4.748317e+17,195144800.0,1253767000.0,4887088000.0,7578223.0
3000000,238049600000.0,16968.18,20.51914,27654300000.0,9605437.0,1063916.0,891736500.0,71252560000000.0,737080600.0,94761820.0,2799205000000.0,92403070.0,94260760.0,3778025000.0,2516932.0
120000,379337000000.0,115012.1,21.40593,27102970000000.0,81484130.0,1072999.0,2825332000000000.0,2.297728e+18,6484109000.0,96566150.0,1.13954e+18,6360922000.0,6082967000.0,47855680000.0,16540500.0
600000,379330200000.0,109871.7,21.16054,23401650000000.0,22437280.0,1072999.0,236708200000000.0,1.129235e+17,6475899000.0,96566140.0,1.139521e+18,93503330.0,1073195000.0,1149633000.0,4780518.0
3000000,263304300000.0,22712.65,20.54397,20844990000.0,8275552.0,1062035.0,973129300.0,32507660000000.0,754850100.0,94557870.0,70813380000000.0,8085168.0,62731350.0,731752900.0,1507612.0
120000,354182600000.0,119438.6,21.41053,37321700000000.0,58892880.0,1071522.0,1601740000000000.0,1.034533e+18,5773986000.0,95794090.0,1.78446e+17,3958666000.0,2922641000.0,29426520000.0,22461340.0
600000,354175600000.0,114110.3,21.16587,35882810000000.0,20392080.0,1071522.0,223875700000000.0,1.033373e+17,5766397000.0,95794080.0,1.784459e+17,139282000.0,336000200.0,1114195000.0,6694414.0
3000000,246198000000.0,20322.29,20.50153,28736340000.0,10374400.0,1063506.0,132017000.0,20173250000000.0,716707400.0,94782390.0,111801000000000.0,9795418.0,51391830.0,563518900.0,1925765.0
120000,397211000000.0,117422.5,21.39776,32975120000000.0,69634670.0,1072008.0,1016631000000000.0,1.944361e+18,6313397000.0,96496900.0,5.069204e+17,4501553000.0,9691443000.0,41911780000.0,21973830.0
600000,397204500000.0,112471.7,21.14974,31117660000000.0,21330040.0,1072007.0,316477200000000.0,9.961207e+16,6306916000.0,96496890.0,5.068628e+17,213485300.0,1261706000.0,4700668000.0,6579847.0
3000000,281821800000.0,22831.23,20.53281,20980000000.0,8605691.0,1043676.0,765061500.0,87323980000000.0,721494800.0,94302130.0,272973700000000.0,19937600.0,89083160.0,992648600.0,1754683.0
120000,359232500000.0,117685.0,21.39764,20485990000000.0,56435500.0,1070331.0,647863100000000.0,1.432842e+18,5277146000.0,95320730.0,1.21495e+18,6174592000.0,9817853000.0,66109160000.0,20014700.0
600000,359225000000.0,112054.9,21.16422,18476600000000.0,22052500.0,1070331.0,127993400000000.0,1.212209e+17,5267669000.0,95320730.0,1.214949e+18,109686600.0,1070502000.0,1238654000.0,6893203.0
3000000,240319000000.0,25065.04,20.53942,27639540000.0,11848120.0,1060262.0,411133700.0,162393100000000.0,663674200.0,94761520.0,148778900000000.0,30951960.0,36456440.0,430426400.0,2194349.0
120000,358903500000.0,114477.1,21.36991,31989820000000.0,72006950.0,1072728.0,3468671000000000.0,7.404517e+17,4826906000.0,96780510.0,8.897625e+17,5682952000.0,5425487000.0,40353770000.0,18694390.0
600000,358896900000.0,109006.5,21.1815,29198300000000.0,21090780.0,1072728.0,40308080000000.0,1.584386e+17,4822857000.0,96780500.0,8.89762e+17,137507100.0,1019908000.0,942983100.0,5888402.0
3000000,236457500000.0,24557.7,20.50872,30374190000.0,9530323.0,1061177.0,341010600.0,62751210000000.0,753775500.0,94777320.0,62168840000000.0,4861851.0,133390400.0,630403400.0,1943600.0
120000,373621200000.0,118333.0,21.40346,35158480000000.0,68647930.0,1069608.0,5518490000000000.0,2.251275e+18,4912401000.0,96189520.0,1.035636e+18,6026094000.0,8491837000.0,28178970000.0,24580750.0
600000,373615800000.0,113030.7,21.16161,33378780000000.0,21069840.0,1069608.0,138333200000000.0,1.042212e+17,4905657000.0,96189510.0,1.035635e+18,173282100.0,1131310000.0,2406408000.0,6709144.0
3000000,270542100000.0,26418.72,20.50613,25839520000.0,9555463.0,1064075.0,127277700.0,167568600000000.0,741804000.0,94362180.0,26610320000000.0,86406270.0,110440500.0,887414700.0,2023587.0
120000,347345800000.0,114778.1,21.41205,39116060000000.0,84581230.0,1071024.0,843553800000000.0,1.975482e+18,5978847000.0,96593000.0,2.189559e+17,5181150000.0,7597142000.0,69484430000.0,26875750.0
600000,347338800000.0,109649.5,21.12323,36978320000000.0,19368580.0,1071024.0,187774100000000.0,1.392446e+17,5973957000.0,96592990.0,2.189429e+17,469294900.0,1095005000.0,1085568000.0,6645136.0
3000000,248023400000.0,27388.21,20.49854,23089210000.0,8897365.0,1063522.0,452221100.0,66114930000000.0,661778900.0,94940230.0,50950500000000.0,325295100.0,74786120.0,609041300.0,2016513.0
120000,377956600000.0,118464.3,21.39529,21471370000000.0,79611990.0,1075153.0,763421700000000.0,1.796575e+18,5691109000.0,96615860.0,1.557224e+18,6016700000.0,11068730000.0,44231380000.0,17349360.0
600000,377950900000.0,113521.5,21.17443,19822210000000.0,18636210.0,1075152.0,186101900000000.0,1.583368e+17,5689162000.0,96615850.0,1.557224e+18,92416760.0,1250005000.0,720300000.0,4749022.0
3000000,264074000000.0,27404.43,20.50872,21617820000.0,9327747.0,1061811.0,607471000.0,63729760000000.0,669271200.0,94877180.0,25219700000000.0,23708940.0,63883250.0,199435900.0,1546172.0
120000,365300800000.0,117398.9,21.38226,21955430000000.0,76637690.0,1071472.0,814110200000000.0,2.158166e+18,5842664000.0,97083200.0,2.131502e+17,5766091000.0,10784460000.0,47668040000.0,18138420.0
600000,365295200000.0,111747.5,21.17177,20930360000000.0,22296600.0,1071471.0,44642700000000.0,8.649576e+16,5836510000.0,97083190.0,2.131491e+17,219333200.0,1814645000.0,2057394000.0,5807727.0
3000000,255031600000.0,26978.46,20.53012,26899160000.0,10389410.0,1062781.0,467896000.0,133677000000000.0,634645300.0,94797200.0,3179234000000.0,4730232.0,198404400.0,325633700.0,1813369.0
