Row,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
120000,209828100000.0,47598.44,20.1419,34362920000000.0,12416640.0,1071527.0,4369841000000.0,709246200000000.0,5198425000.0,96462770.0,8.707176e+16,1846422.0,14824260000.0,66429320000.0,37342210.0
600000,18300450000.0,5084.073,20.05252,179070600000.0,9134090.0,1066780.0,918852500.0,244817900000000.0,425564600.0,95081900.0,76172070000.0,2361.854,1560469000.0,779713700.0,6817742.0
3000000,0.0002763109,250.8219,20.04506,498134900.0,2387669.0,1062312.0,23242.8,19327310000000.0,297869600.0,92558170.0,36251150.0,1187.155,2114838.0,22711310.0,1071857.0
120000,352337000000.0,118362.5,20.1833,41260620000000.0,9570195.0,1074734.0,1584391000.0,1.360886e+16,5356274000.0,96903970.0,1.053349e+17,209245.4,10229830000.0,30040430000.0,53716290.0
600000,1277999.0,7224.369,20.03258,203530800000.0,9456337.0,1063953.0,788238200.0,241991100000000.0,687435400.0,95671360.0,18265550000.0,2112.102,890120700.0,377272800.0,7711545.0
3000000,1.109011,296.0065,20.03258,464441700.0,2804772.0,1063918.0,12544.82,29632410000000.0,170698300.0,95093160.0,7063739.0,1605.994,1591491.0,25568420.0,1015638.0
120000,367001400000.0,113592.2,20.1534,15909300000000.0,11628330.0,1072138.0,238648600000.0,8297430000000000.0,4814352000.0,97023250.0,1.596981e+16,103733.4,10430170000.0,41275920000.0,42303290.0
600000,27787720000.0,10177.63,20.0613,225083000000.0,8090824.0,1066591.0,1000100000.0,270012100000000.0,390201100.0,94988360.0,19047820000.0,2347.765,1052569000.0,1449235000.0,5914426.0
3000000,0.004427216,199.6349,20.05042,207525400.0,6416574.0,1041362.0,2763.154,61331660000000.0,331134800.0,94491010.0,2675150.0,1544.029,2413432.0,24009120.0,1511620.0
120000,362338600000.0,116491.9,20.11213,306969400000.0,8936227.0,1074108.0,4437788000.0,818449500000000.0,5851817000.0,96918700.0,8.829334e+16,8560583.0,11535280000.0,54864880000.0,30869170.0
600000,153490100.0,8444.241,20.05838,13995370000.0,8844467.0,1066755.0,1005603000.0,450218700000000.0,731526500.0,95607820.0,23039630000.0,2055.861,952786600.0,404778800.0,4770621.0
