Row,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
120000,352232800.0,14883.96,21.41584,61233640000.0,5257291.0,1063192.0,495674600.0,42316120000000.0,475697500.0,94618170.0,4057794000.0,3683595000.0,4629438000.0,69593900000.0,20142510.0
600000,29780910.0,14146.02,21.13787,10826480000.0,3158261.0,1059147.0,36263500.0,2958253000000.0,361938900.0,94516160.0,670692600.0,112108800.0,798267200.0,1288690000.0,6170344.0
3000000,9432523.0,14053.99,20.43696,3062347000.0,2041141.0,1054678.0,7436252.0,201520000000.0,299515600.0,93270740.0,68138240.0,13302730.0,57747260.0,181949000.0,1720478.0
120000,405078500.0,13720.22,21.40966,74602320000.0,5593523.0,1062519.0,271953500.0,86715290000000.0,440170600.0,94538960.0,2646993000.0,3436565000.0,7522725000.0,45714720000.0,21118690.0
600000,51003590.0,12959.93,21.16414,10147240000.0,3211498.0,1059373.0,13323470.0,4462305000000.0,303053500.0,94327700.0,319537700.0,174368400.0,944927600.0,240556400.0,5496195.0
3000000,15208640.0,12874.56,20.44283,1232946000.0,2265694.0,1054833.0,3615208.0,248175300000.0,233484500.0,93072270.0,67261030.0,2883993.0,35515960.0,66944550.0,1574173.0
120000,451667100.0,14617.76,21.39702,61298690000.0,5100307.0,1060920.0,337071200.0,76903330000000.0,454897600.0,94824030.0,11618200000.0,4923153000.0,12297050000.0,26471880000.0,21005450.0
600000,62616030.0,13868.96,21.15749,10336350000.0,2814742.0,1056293.0,39404260.0,3904015000000.0,302138000.0,93630700.0,933660800.0,97080560.0,2750364000.0,401044500.0,5828255.0
3000000,45376860.0,13697.62,20.44248,1703604000.0,1746922.0,1054347.0,16071940.0,425088200000.0,247140200.0,93420570.0,170129500.0,50818810.0,52782610.0,156707100.0,1832330.0
120000,300068700.0,15027.95,21.40159,77874030000.0,5317798.0,1063598.0,254685600.0,22919420000000.0,456820500.0,94675650.0,2786144000.0,5510689000.0,9654049000.0,61617290000.0,25737150.0
600000,60061580.0,14306.23,21.14631,11309700000.0,2704437.0,1060704.0,13713910.0,3109729000000.0,318773200.0,93632600.0,506280100.0,310386600.0,679596200.0,3707383000.0,7676862.0
3000000,1866631.0,14172.02,20.44752,1630260000.0,1878302.0,1056479.0,6103845.0,82908090000.0,261707800.0,93213310.0,66956470.0,3263847.0,99162290.0,553331600.0,1866637.0
120000,289808100.0,13903.77,21.40105,85046450000.0,5302778.0,1063336.0,293876500.0,64531550000000.0,470498400.0,94877660.0,5568341000.0,5261680000.0,6551254000.0,58088540000.0,24007990.0
600000,21979470.0,12996.33,21.13721,9077824000.0,2906835.0,1060623.0,17967060.0,2693759000000.0,301637300.0,94121830.0,803533400.0,147398700.0,906953600.0,474566100.0,7127820.0
3000000,1576452.0,12876.68,20.46713,1813026000.0,2056934.0,1055614.0,4745820.0,166596200000.0,263821900.0,93470830.0,112000300.0,65328860.0,58369500.0,54547430.0,2072680.0
120000,474696000.0,13944.92,21.4019,61632670000.0,5729142.0,1064191.0,254515300.0,77504160000000.0,404551500.0,94631940.0,7138470000.0,3673389000.0,9842518000.0,26059010000.0,23426820.0
600000,47588380.0,13107.12,21.15864,8382187000.0,3293850.0,1061797.0,17026190.0,1826052000000.0,287309200.0,94273080.0,503240300.0,260931000.0,1936202000.0,276174000.0,5712101.0
3000000,6500078.0,12942.23,20.4749,628369400.0,2185884.0,1057867.0,5737899.0,121500000000.0,236040900.0,93470020.0,55436650.0,380076.4,783569800.0,43657510.0,1664481.0
120000,274235600.0,14486.57,21.40005,78373490000.0,4184844.0,1063864.0,270291100.0,80654420000000.0,405826600.0,94563510.0,2814404000.0,5197696000.0,4978907000.0,30161160000.0,24206840.0
600000,21692410.0,13576.36,21.17623,8738160000.0,2509425.0,1060874.0,22197400.0,2662769000000.0,292055300.0,93656860.0,662792600.0,195643900.0,415040500.0,887203600.0,5891362.0
3000000,3404937.0,13467.6,20.46003,3098470000.0,1779520.0,1057447.0,11398350.0,145887400000.0,222837200.0,92839320.0,50269760.0,11818240.0,16075400.0,63383640.0,1878725.0
120000,341281100.0,15004.54,21.4056,73161190000.0,4235310.0,1063253.0,319897600.0,81474720000000.0,467636500.0,94527130.0,1971212000.0,5091326000.0,6226666000.0,66406210000.0,23355090.0
600000,47801790.0,14224.97,21.16875,6318543000.0,2625617.0,1060913.0,22071230.0,4806093000000.0,304542600.0,94075260.0,533013200.0,314904700.0,610861700.0,227333600.0,6241672.0
3000000,15129020.0,14122.24,20.44322,1044068000.0,1707641.0,1057197.0,4372529.0,104741800000.0,262260800.0,93071490.0,99807260.0,7411605.0,102106600.0,34233030.0,1853968.0
120000,396161600.0,15048.08,21.39624,47310200000.0,4684688.0,1064320.0,281437500.0,137851800000000.0,465170800.0,94570600.0,4245855000.0,3147164000.0,14025490000.0,38199330000.0,22972040.0
600000,29198030.0,14349.3,21.14856,5594639000.0,2813157.0,1055989.0,14118450.0,29223020000000.0,315467400.0,93796090.0,755155600.0,124551700.0,2797284000.0,411804300.0,6676888.0
3000000,2931519.0,14214.81,20.45633,843586600.0,1927920.0,1054228.0,3441735.0,143379500000.0,269974500.0,93526300.0,194440700.0,14618140.0,179539200.0,135297300.0,1840617.0
120000,414263700.0,14997.12,21.39743,79405370000.0,4565398.0,1060888.0,173409500.0,94716740000000.0,458236300.0,94269530.0,2788983000.0,4709036000.0,10658460000.0,40156990000.0,20437860.0
600000,30590580.0,14147.68,21.15473,14538050000.0,2035660.0,1058916.0,16529000.0,1473618000000.0,307335100.0,94260750.0,539121500.0,205724600.0,992430800.0,395028100.0,5549733.0
3000000,4487141.0,13982.56,20.42879,1029081000.0,1455266.0,1053799.0,4453436.0,98950010000.0,251242600.0,93099860.0,46930870.0,11624020.0,39009170.0,127742000.0,1603666.0
120000,455345800.0,15337.25,21.38952,66603620000.0,4859025.0,1063544.0,280076600.0,50383350000000.0,478736000.0,94821930.0,2633772000.0,5564405000.0,7302244000.0,60451320000.0,24870520.0
600000,128796900.0,14573.74,21.17628,5014169000.0,3221659.0,1061660.0,15308440.0,7434998000000.0,321282200.0,93843550.0,419575800.0,271224600.0,571794600.0,1158331000.0,7445145.0
3000000,15480490.0,14392.86,20.46352,1477268000.0,2409617.0,1057884.0,3651378.0,430557200000.0,283698300.0,93384330.0,45634440.0,8837541.0,45633270.0,527798600.0,2049989.0
120000,368237900.0,13312.65,21.39703,60370710000.0,5383517.0,1061810.0,377916700.0,48116710000000.0,389146500.0,94891660.0,2475676000.0,7555347000.0,12200550000.0,40840540000.0,22163630.0
600000,35896960.0,12564.12,21.14523,6452179000.0,3124018.0,1059209.0,27470500.0,9134258000000.0,291889500.0,93968960.0,523031300.0,78601450.0,1374313000.0,1735252000.0,6728244.0
3000000,1023389.0,12497.82,20.47238,1266486000.0,2179868.0,1055036.0,6793650.0,146180700000.0,240163400.0,92840490.0,49721920.0,1982830.0,192122500.0,1086505000.0,1943352.0
120000,392413500.0,13280.97,21.39313,65003010000.0,4619255.0,1061527.0,363594700.0,36863000000000.0,457714200.0,94736560.0,3618686000.0,5641113000.0,6117555000.0,75932610000.0,21147770.0
600000,103548500.0,12564.83,21.17701,6430947000.0,2621782.0,1061441.0,35264190.0,1870563000000.0,331883800.0,94237400.0,532325700.0,302867700.0,606738200.0,364975900.0,5801657.0
3000000,27113220.0,12482.48,20.47043,2842664000.0,1803656.0,1056723.0,7925527.0,90697470000.0,251735300.0,93611100.0,138383300.0,1794561.0,121176600.0,61278040.0,1868692.0
120000,310735600.0,14427.49,21.40627,97548800000.0,5187320.0,1064188.0,256851700.0,60437440000000.0,462341500.0,94979470.0,2931926000.0,5353239000.0,5171946000.0,39023350000.0,28076420.0
600000,17570030.0,13570.67,21.148,9319350000.0,2983267.0,1060645.0,13861960.0,3875734000000.0,330098600.0,93830480.0,944731800.0,82683210.0,846752800.0,360803200.0,7205904.0
3000000,6381914.0,13491.79,20.46551,1472909000.0,2149458.0,1057331.0,5472933.0,111059300000.0,258116000.0,93344630.0,107133200.0,13517800.0,52996660.0,63884840.0,2281276.0
120000,285027400.0,13466.87,21.39791,62903520000.0,4687506.0,1061237.0,355770100.0,98019200000000.0,449299600.0,94354710.0,2733475000.0,5318605000.0,10306740000.0,65764170000.0,17021520.0
600000,34876780.0,12641.86,21.15926,7110401000.0,2583370.0,1058252.0,20731490.0,2035928000000.0,319118400.0,93652440.0,434792900.0,65484560.0,1360804000.0,11348120000.0,5544078.0
3000000,20045850.0,12500.86,20.46959,1744879000.0,1861346.0,1055220.0,5543827.0,100733900000.0,238868200.0,93151110.0,92584000.0,1823204.0,158755000.0,704972900.0,1640449.0
120000,404446000.0,13403.67,21.39552,59208960000.0,4499691.0,1064268.0,216531000.0,52344310000000.0,477888100.0,94776280.0,2708781000.0,5525724000.0,6529565000.0,49629090000.0,16378710.0
600000,31373280.0,12692.6,21.1498,8691621000.0,2786131.0,1058544.0,10861380.0,1189157000000.0,304620100.0,94123610.0,514312300.0,856846600.0,771773900.0,2798629000.0,5020148.0
3000000,11160180.0,12546.2,20.45794,1190877000.0,2053061.0,1056592.0,2930577.0,135689900000.0,264528700.0,93191240.0,41530490.0,79516080.0,53004480.0,61649960.0,1398357.0
120000,403512100.0,13795.02,21.39473,106512100000.0,5459455.0,1061532.0,333965100.0,68057870000000.0,437486700.0,94657760.0,4056651000.0,4891366000.0,6507553000.0,47401080000.0,18990170.0
600000,18536480.0,13081.38,21.15593,9865900000.0,3234247.0,1058748.0,15777330.0,1358423000000.0,313345500.0,93984030.0,880591300.0,608546500.0,936996700.0,3820960000.0,5409264.0
3000000,1522459.0,12936.55,20.45621,2068672000.0,2535228.0,1055956.0,4520208.0,96599270000.0,243007200.0,92853930.0,89981690.0,26073640.0,96843590.0,56128570.0,1491148.0
120000,416164400.0,14829.14,21.41163,51086190000.0,4823078.0,1064006.0,198609900.0,46249650000000.0,457776400.0,94298800.0,2603044000.0,5041007000.0,12254400000.0,25104110000.0,19242070.0
600000,45024350.0,14017.02,21.16639,6638729000.0,2872547.0,1062661.0,20741490.0,1832810000000.0,345969800.0,94284650.0,566575100.0,58920820.0,863690200.0,372417500.0,5892656.0
3000000,9489266.0,13890.44,20.44952,1161874000.0,1896955.0,1056970.0,6911429.0,432554100000.0,275957000.0,93174230.0,161724700.0,3139788.0,123525500.0,152895300.0,1832203.0
120000,318069300.0,13872.8,21.41538,53188150000.0,5188305.0,1063093.0,184810800.0,61505430000000.0,423444500.0,94690110.0,2208052000.0,5632546000.0,10953630000.0,30172420000.0,19300310.0
600000,44505290.0,13067.47,21.16693,3422985000.0,2943804.0,1059103.0,20754190.0,2745937000000.0,288544700.0,93988180.0,648480800.0,702555700.0,904833100.0,761097400.0,6060852.0
3000000,2322850.0,12946.75,20.44134,654579100.0,2157508.0,1057498.0,7242324.0,138029200000.0,222958100.0,93490540.0,195018800.0,35474670.0,127390900.0,344534500.0,1909196.0
