Row,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
120000,3216478.0,3173.797,20.08237,30551650000.0,2456375.0,1047069.0,1012138000.0,71743320000000.0,317777500.0,93970850.0,18615230000.0,4999713.0,13360580000.0,60116580000.0,49297490.0
600000,1.983183e-22,2340.303,20.04535,12045090000.0,2334273.0,1047054.0,28352070.0,13278240000000.0,219408900.0,93872430.0,570378100.0,1945.602,643958900.0,977980200.0,6521878.0
3000000,2.660999e-23,1811.646,20.04535,499089900.0,1357610.0,1043444.0,374.2011,2325934000000.0,181930800.0,92718780.0,1033629.0,144.1977,188850.3,15821090.0,1742013.0
120000,681174.6,3097.978,20.13601,46034760000.0,1752107.0,1046630.0,614735800.0,152804200000000.0,237107600.0,93715650.0,9899335000.0,66895.07,9613267000.0,51922850000.0,45585000.0
600000,4.7206320000000005e-25,2041.902,20.09143,4934143000.0,1471769.0,1045748.0,18166400.0,11500050000000.0,222581200.0,92822970.0,529933600.0,2400.159,827409900.0,2074617000.0,5414012.0
3000000,0.0,1925.269,20.04314,2768789000.0,1301196.0,1032952.0,1027.0,961133400000.0,187939100.0,92822970.0,3188714.0,1385.443,398700.0,15776290.0,2077243.0
120000,2165598.0,2863.268,20.15066,69194200000.0,1910806.0,1060495.0,496631000.0,42876140000000.0,275498300.0,94098880.0,14862550000.0,2006668.0,8458035000.0,141305500000.0,48305250.0
600000,0.0,2248.488,20.07043,4888080000.0,1870785.0,1048598.0,31340420.0,4742246000000.0,251648600.0,93735390.0,475525700.0,1836.424,957114600.0,2964090000.0,6916588.0
3000000,0.0,1872.927,20.05414,562261700.0,1870785.0,1035116.0,6115.265,3226968000000.0,200070700.0,92453280.0,868654.7,1752.26,445846.6,10453470.0,662299.5
120000,1141061.0,2839.52,20.12916,21456040000.0,2570229.0,1052787.0,411028900.0,134685000000000.0,278269200.0,94744140.0,95324160000.0,131372.8,12061680000.0,126150600000.0,38654990.0
600000,1.6916580000000002e-23,1897.074,20.032,1840277000.0,1579565.0,1051071.0,13318160.0,13417730000000.0,196343400.0,94458270.0,445313100.0,1938.123,974229500.0,5177907000.0,5840792.0
3000000,1.941723e-24,1389.212,20.032,586866100.0,1579565.0,1039313.0,247.7104,1294107000000.0,177149300.0,92673580.0,965760.4,1843.329,240216.6,9721856.0,1694272.0
120000,7794236.0,2258.264,20.16542,19691680000.0,3025071.0,1053931.0,428881000.0,292768100000000.0,259593600.0,94693740.0,14365380000.0,109008.7,9524001000.0,128929300000.0,39662000.0
600000,2.7365740000000004e-23,1722.617,20.06205,2797491000.0,2343101.0,1049927.0,6354645.0,16418660000000.0,216976700.0,93593500.0,287110700.0,1992.703,807026200.0,141440000.0,5391162.0
3000000,6.670456e-24,1722.617,20.03009,922626800.0,1074695.0,1045636.0,230.3949,2298893000000.0,169161300.0,93375750.0,1062377.0,1433.598,226865.6,10310150.0,2098088.0
120000,3354388.0,2932.038,20.15126,21880170000.0,2108148.0,1052547.0,707168200.0,371741600000000.0,317476000.0,93310780.0,9961121000.0,102524.0,18558740000.0,84905950000.0,45159290.0
600000,0.0,2012.687,20.04263,4893490000.0,1523493.0,1045758.0,48317540.0,55241320000000.0,215080000.0,93201840.0,589219500.0,2124.459,368387300.0,1665338000.0,5131542.0
3000000,0.0,1613.505,20.04205,3084024000.0,1378791.0,1041263.0,1047.384,3132077000000.0,162297200.0,92498340.0,1148496.0,1853.775,267754.9,9911320.0,642997.0
120000,414388.0,2812.449,20.12863,27926230000.0,1603327.0,1053622.0,412260300.0,262618700000000.0,286639200.0,94573500.0,9701019000.0,3205075.0,12911550000.0,103798600000.0,36626960.0
600000,4.0199260000000004e-23,2147.958,20.05752,4434775000.0,1561331.0,1050700.0,26099910.0,10549160000000.0,251661500.0,92598260.0,258481900.0,2402.704,1099731000.0,6503494000.0,4950360.0
