Iterations,Value,Algorithm,FileID
120000,353765624.0,shade,1
300000,111488473.2,shade,1
600000,43454444.8,shade,1
900000,24209912.48,shade,1
1200000,16964712.12,shade,1
1500000,13446987.24,shade,1
1800000,11855412.96,shade,1
2100000,10898447.36,shade,1
2400000,10429303.72,shade,1
2700000,10073410.6,shade,1
3000000,9882075.16,shade,1
120000,356869288000.0,ERDGshade,1
300000,356868232000.0,ERDGshade,1
600000,356862920000.0,ERDGshade,1
900000,356841704000.0,ERDGshade,1
1200000,356752820000.0,ERDGshade,1
1500000,356414220000.0,ERDGshade,1
1800000,354852188000.0,ERDGshade,1
2100000,349468292000.0,ERDGshade,1
2400000,329021096000.0,ERDGshade,1
2700000,251390104000.0,ERDGshade,1
3000000,242997131655.88,ERDGshade,1
120000,2466543.528,shadeils,1
300000,27.707393690429434,shadeils,1
600000,3.5672879801200004e-23,shadeils,1
900000,1.4836941144584002e-23,shadeils,1
1200000,1.4710464814864e-23,shadeils,1
1500000,1.0016033274864e-23,shadeils,1
1800000,8.407866464064001e-24,shadeils,1
2100000,8.386730738864001e-24,shadeils,1
2400000,8.373955795824001e-24,shadeils,1
2700000,7.658015495024002e-24,shadeils,1
3000000,7.657926872344001e-24,shadeils,1
120000,358171848000.0,ERDGshadeils,1
300000,318892184000.0,ERDGshadeils,1
600000,9221540104.8,ERDGshadeils,1
900000,2486572579.256,ERDGshadeils,1
1200000,527021379.4598224,ERDGshadeils,1
1500000,44089079.29197023,ERDGshadeils,1
1800000,18208315.519345604,ERDGshadeils,1
2100000,3617921.294346759,ERDGshadeils,1
2400000,611290.4033714004,ERDGshadeils,1
2700000,173461.50409067207,ERDGshadeils,1
3000000,17568.20422945108,ERDGshadeils,1
120000,14382.315200000001,shade,2
300000,13812.0524,shade,2
600000,13593.680400000001,shade,2
900000,13532.003200000001,shade,2
1200000,13503.485200000001,shade,2
1500000,13489.288400000001,shade,2
1800000,13482.7456,shade,2
2100000,13476.4028,shade,2
2400000,13474.2948,shade,2
2700000,13472.881199999998,shade,2
3000000,13471.3104,shade,2
120000,114227.16560000001,ERDGshade,2
300000,112563.24960000001,ERDGshade,2
600000,109305.0336,ERDGshade,2
900000,104941.29359999999,ERDGshade,2
1200000,99038.7924,ERDGshade,2
1500000,91698.2948,ERDGshade,2
1800000,81129.5408,ERDGshade,2
2100000,66381.2268,ERDGshade,2
2400000,49444.762800000004,ERDGshade,2
2700000,24501.748,ERDGshade,2
3000000,461.5382,ERDGshade,2
120000,2877.6802000000002,shadeils,2
300000,2268.95508,shadeils,2
600000,2031.00408,shadeils,2
900000,1909.90828,shadeils,2
1200000,1820.79844,shadeils,2
1500000,1783.0076000000001,shadeils,2
1800000,1777.7648000000002,shadeils,2
2100000,1744.0334400000002,shadeils,2
2400000,1718.50164,shadeils,2
2700000,1705.1868,shadeils,2
